split,precision,recall,f1,map50,map50_95,fitness,save_dir
validation,0.8362406519722372,0.7467531418310944,0.7889675078091094,0.7980055789906281,0.5390460360387831,0.5390460360387831,C:\Users\USER\Desktop\ML\WorkSpace\DhakaRoadNet-EdgeAI\reports\evaluation\artifacts\yolov8n_dhakaroadnet_baseline_validation
test,0.8147640952953049,0.6913929906141892,0.7480258065527376,0.7428670182226806,0.4782787146225128,0.4782787146225128,C:\Users\USER\Desktop\ML\WorkSpace\DhakaRoadNet-EdgeAI\reports\evaluation\artifacts\yolov8n_dhakaroadnet_baseline_test
