split,class_id,class_name,map50_95,precision,recall,f1
validation,0,Auto rickshaw,0.7228863315983518,0.9349995732283026,0.9545454545454546,0.9446714203773701
validation,1,Bicycle,0.4823946063366143,0.9474993307782096,0.7586206896551724,0.8426049599725051
validation,2,Bus,0.5857258409562591,0.8944316533658963,0.8304498269896193,0.8612540864415252
validation,3,Car,0.5376701906362713,0.8842416356313479,0.7452450665703182,0.8088150897088765
validation,4,Dog,0.5155000000000001,0.9374346435720146,0.8,0.8632816407019309
validation,5,Garbage van,0.7012311859966658,1.0,0.8546765038341634,0.9216448281598382
validation,6,Human,0.3890868404946289,0.9022011303689678,0.6061827956989247,0.7251453612548971
validation,7,Leguna,0.9949999999999999,0.7733511234500238,1.0,0.8721917653233642
validation,8,Manhole,0.6659761904761904,0.8993129413646166,1.0,0.9469876414557351
validation,9,Micro Bus,0.6275708333333333,0.7962280482668512,0.6525218476673584,0.7172476059225261
validation,10,Mini truck,0.655,0.9056227562241281,0.8,0.8495409695203427
validation,11,Minivan,0.5034387212706387,0.7706785236282258,0.6818181818181818,0.7235302190720257
validation,12,Motorbike,0.4208966607746306,0.8558842723046058,0.5590052333796858,0.6762984465762166
validation,13,Pickup truck,0.5588478260869565,0.761583527240894,0.75,0.7557473803293743
validation,14,Police car,0.0,0.0,0.0,
validation,15,Pothole,0.22936137018247965,0.752299836881177,0.5176470588235295,0.6132946176444108
validation,16,Rickshaw,0.5798767217556067,0.9056418488443337,0.8134920634920635,0.8570972291505606
validation,17,Road barrier,0.6335801018060888,0.9255749895409888,0.8896177211757117,0.9072402154453099
validation,18,SUV,0.5244644579019438,0.8036166680303274,0.7058678222049158,0.7515773113531447
validation,19,Speed Breaker,0.5491560846560846,0.8725314886092324,0.8888888888888888,0.8806342373897693
validation,20,Three wheelers -CNG-,0.6007604772313623,0.9313461528798126,0.8439716312056738,0.885508767961798
validation,21,Truck,0.44722261520560397,0.9144751323271545,0.75,0.8241112599699206
validation,22,Van,0.5299092883903584,0.8274553633751452,0.8421052631578947,0.8347160390017123
validation,23,Zebra Crossing,0.48154851984072405,0.8733650074214369,0.6774193548387096,0.7630130587645002
test,0,Auto rickshaw,0.70625,0.903687691697552,0.8666666666666667,0.8847900938825302
test,1,Bicycle,0.26933058705999885,0.6845060113072293,0.8235294117647058,0.7476095378355816
test,2,Bus,0.5785981392886465,0.883650866643312,0.8223710703011624,0.8519103925187823
test,3,Car,0.5926159370392267,0.9057644620877106,0.7745664739884393,0.8350435864754193
test,4,Dog,0.4845,1.0,0.5072990693204559,0.6731233099601984
test,5,Garbage van,0.7916210317460318,0.9614315488956697,1.0,0.9803365806336473
test,6,Human,0.39031507586047803,0.884159020169018,0.6070311449167112,0.7198438869408461
test,7,Leguna,0.6455,0.8383751576828252,1.0,0.9120827750300465
test,8,Manhole,0.36524999999999996,0.703242209178172,0.6097266275345162,0.6531541169182511
test,9,Micro Bus,0.7165,0.6710232353322564,0.7272727272727273,0.6980166023140025
test,10,Mini truck,0.3465,0.7323455630990781,0.5,0.594269647271168
test,11,Minivan,0.5220647841472565,0.8931474105059657,0.6430401481268728,0.7477337515505273
test,12,Motorbike,0.38317457365586244,0.8805181916213842,0.6721311475409836,0.7623404559389736
test,13,Pickup truck,0.30569565217391304,0.7588904828609677,0.5,0.6028248629986505
test,14,Police car,0.0,0.0,0.0,
test,15,Pothole,0.23903945221429201,0.747947912490812,0.5881610229441674,0.6584999136710864
test,16,Rickshaw,0.5964322084488181,0.9277009056284087,0.77246122712105,0.8429936959060979
test,17,Road barrier,0.7481944444444444,0.9048264734540443,0.8571428571428571,0.8803394420175942
test,18,SUV,0.6078492224989303,0.8296391096369937,0.7368421052631579,0.7804919999535899
test,19,Speed Breaker,0.18012052028278597,0.9957967661456526,0.46153846153846156,0.6307382113890138
test,20,Three wheelers -CNG-,0.6177075710004851,0.9286731855688687,0.8618421052631579,0.8940104085681356
test,21,Truck,0.4890003708579977,0.7634306831888464,0.7748662938183347,0.7691059826700538
test,22,Van,0.479371549807349,0.8882248774587453,0.76,0.8191247639817799
test,23,Zebra Crossing,0.42305803041379064,0.8673565224338047,0.7269432142161135,0.7909666216394691
