epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2342.75,1.34687,0.89627,1.12795,0.7728,0.68071,0.76152,0.45089,1.55579,0.94589,1.19244,0.000741194,0.000741194,0.000741194
43,2398.64,1.35282,0.89897,1.1253,0.76405,0.69777,0.75467,0.44246,1.62976,0.97453,1.22618,0.000729725,0.000729725,0.000729725
44,2454.42,1.35048,0.89834,1.12804,0.74967,0.70716,0.77179,0.43906,1.59019,0.95915,1.21056,0.000718103,0.000718103,0.000718103
45,2510.33,1.34672,0.89902,1.12775,0.77147,0.68132,0.74929,0.44731,1.57926,0.97382,1.20343,0.000706335,0.000706335,0.000706335
46,2566.51,1.339,0.88295,1.11867,0.69506,0.7464,0.76136,0.45752,1.54038,0.93158,1.1812,0.000694428,0.000694428,0.000694428
47,2621.57,1.32738,0.87999,1.11488,0.75912,0.72201,0.75489,0.44979,1.57538,0.97552,1.2026,0.000682392,0.000682392,0.000682392
48,2677.86,1.32099,0.86759,1.11155,0.77575,0.68809,0.76193,0.4678,1.53961,0.94169,1.18261,0.000670234,0.000670234,0.000670234
49,2733.58,1.30985,0.86014,1.10452,0.72508,0.70963,0.75265,0.43974,1.58025,0.94372,1.19456,0.000657963,0.000657963,0.000657963
50,2789.5,1.32165,0.86317,1.10309,0.75749,0.73508,0.77701,0.4565,1.59871,0.95381,1.20305,0.000645588,0.000645588,0.000645588
51,2845.53,1.29704,0.84099,1.09932,0.79957,0.72895,0.77846,0.46843,1.52399,0.90969,1.17581,0.000633115,0.000633115,0.000633115
52,2900.83,1.30013,0.8386,1.09409,0.72904,0.72266,0.76269,0.45849,1.55395,0.92858,1.18615,0.000620555,0.000620555,0.000620555
53,2956.91,1.27799,0.82676,1.08864,0.72004,0.75706,0.7646,0.45249,1.57026,0.91918,1.20384,0.000607916,0.000607916,0.000607916
54,3012.28,1.2923,0.83685,1.09744,0.6639,0.76543,0.7753,0.47316,1.52849,0.90422,1.18727,0.000595207,0.000595207,0.000595207
55,3068.05,1.27945,0.81572,1.08697,0.78604,0.75078,0.77219,0.45459,1.58295,0.9268,1.19381,0.000582435,0.000582435,0.000582435
56,3123.46,1.28147,0.81896,1.08808,0.76548,0.73928,0.76311,0.4488,1.54055,0.91188,1.18827,0.00056961,0.00056961,0.00056961
57,3179.13,1.27376,0.81528,1.08247,0.75906,0.74904,0.76926,0.45223,1.52514,0.9144,1.18565,0.000556742,0.000556742,0.000556742
58,3235.36,1.26952,0.81855,1.08728,0.75008,0.7387,0.7654,0.4659,1.49615,0.90738,1.16113,0.000543837,0.000543837,0.000543837
59,3290.95,1.26685,0.81204,1.08684,0.78944,0.70847,0.75961,0.45984,1.53421,0.91284,1.18378,0.000530906,0.000530906,0.000530906
60,3346.69,1.25872,0.79249,1.07673,0.81247,0.69882,0.77968,0.47226,1.51059,0.89704,1.17386,0.000517958,0.000517958,0.000517958
61,3402.26,1.23984,0.79697,1.06841,0.79598,0.73383,0.78046,0.47468,1.48351,0.89541,1.16548,0.000505,0.000505,0.000505
62,3458.16,1.24699,0.80195,1.07886,0.76585,0.72022,0.78181,0.48726,1.47956,0.86606,1.16607,0.000492042,0.000492042,0.000492042
63,3514.14,1.2403,0.7902,1.06966,0.77566,0.74494,0.77205,0.4752,1.49079,0.88995,1.17005,0.000479094,0.000479094,0.000479094
64,3569.64,1.22732,0.78309,1.06421,0.74999,0.74911,0.7793,0.48661,1.48021,0.89331,1.17276,0.000466163,0.000466163,0.000466163
65,3625.53,1.23292,0.77707,1.06769,0.80757,0.72436,0.78444,0.47924,1.5482,0.89864,1.18763,0.000453258,0.000453258,0.000453258
66,3680.55,1.22042,0.7647,1.0588,0.78534,0.74892,0.77396,0.4791,1.47394,0.88779,1.16835,0.00044039,0.00044039,0.00044039
67,3735.25,1.21432,0.76512,1.05465,0.77125,0.74762,0.78235,0.47549,1.49951,0.87997,1.16725,0.000427565,0.000427565,0.000427565
68,3791.47,1.22087,0.76473,1.05657,0.77383,0.74495,0.79345,0.49566,1.4517,0.86851,1.14493,0.000414793,0.000414793,0.000414793
69,3846.69,1.20338,0.75611,1.05171,0.76679,0.7542,0.78096,0.4909,1.4692,0.85962,1.15958,0.000402084,0.000402084,0.000402084
70,3903.07,1.21589,0.76987,1.06156,0.78215,0.73625,0.78433,0.48981,1.48133,0.8726,1.15312,0.000389445,0.000389445,0.000389445
71,3958.08,1.18687,0.74235,1.04096,0.77821,0.72148,0.77809,0.49132,1.46929,0.85018,1.15465,0.000376885,0.000376885,0.000376885
72,4013.68,1.18539,0.74221,1.04517,0.78616,0.74804,0.78165,0.49465,1.45571,0.84918,1.1471,0.000364412,0.000364412,0.000364412
73,4069.79,1.18974,0.75259,1.04981,0.80424,0.73005,0.78675,0.49674,1.45585,0.86573,1.15348,0.000352037,0.000352037,0.000352037
74,4124.86,1.18478,0.74733,1.04749,0.82489,0.75102,0.79332,0.51229,1.44246,0.84102,1.14566,0.000339766,0.000339766,0.000339766
75,4180.97,1.17465,0.73495,1.04586,0.80623,0.74921,0.79309,0.51364,1.43656,0.85958,1.14378,0.000327608,0.000327608,0.000327608
76,4236.73,1.16991,0.73378,1.03983,0.79887,0.73513,0.78429,0.49484,1.46006,0.8463,1.15148,0.000315572,0.000315572,0.000315572
77,4292.97,1.1659,0.7332,1.03785,0.81495,0.73695,0.78599,0.51537,1.44076,0.85392,1.14891,0.000303665,0.000303665,0.000303665
78,4348.99,1.16987,0.73508,1.04157,0.78556,0.76305,0.77732,0.49645,1.44764,0.85584,1.14671,0.000291897,0.000291897,0.000291897
79,4405.19,1.16564,0.72441,1.03802,0.78971,0.75248,0.78562,0.5092,1.41729,0.84953,1.13196,0.000280275,0.000280275,0.000280275
80,4460.89,1.15692,0.73099,1.03723,0.78208,0.73771,0.77712,0.50558,1.43081,0.8381,1.13662,0.000268806,0.000268806,0.000268806
81,4516.26,1.14906,0.71866,1.03236,0.80294,0.74714,0.77642,0.50235,1.43847,0.84998,1.14621,0.0002575,0.0002575,0.0002575
82,4572.31,1.14528,0.71831,1.02742,0.78352,0.75524,0.78615,0.51775,1.40859,0.85256,1.14103,0.000246363,0.000246363,0.000246363
83,4628.26,1.14301,0.71102,1.02703,0.81657,0.73272,0.78803,0.5045,1.45165,0.84798,1.15079,0.000235404,0.000235404,0.000235404
84,4683.31,1.14544,0.72009,1.03,0.7905,0.7503,0.78312,0.51244,1.42584,0.8381,1.13461,0.000224629,0.000224629,0.000224629
85,4739.44,1.13707,0.7034,1.02429,0.80251,0.75397,0.78884,0.50979,1.42352,0.82762,1.13519,0.000214046,0.000214046,0.000214046
86,4795.46,1.13699,0.70213,1.02183,0.80463,0.74511,0.79263,0.50805,1.43733,0.83035,1.14187,0.000203663,0.000203663,0.000203663
87,4851.19,1.13365,0.70313,1.01842,0.78688,0.75911,0.7918,0.50521,1.41947,0.83157,1.13983,0.000193486,0.000193486,0.000193486
88,4907.66,1.1206,0.69617,1.0144,0.78461,0.74125,0.78797,0.51714,1.41775,0.83787,1.14,0.000183523,0.000183523,0.000183523
89,4962.65,1.11386,0.68936,1.01387,0.78955,0.73705,0.78954,0.52289,1.39876,0.82629,1.13576,0.00017378,0.00017378,0.00017378
90,5018.86,1.11801,0.69682,1.01895,0.78854,0.73323,0.78384,0.52205,1.39831,0.82369,1.13711,0.000164264,0.000164264,0.000164264
91,5075.19,1.12324,0.70093,1.02527,0.81804,0.7315,0.79659,0.52809,1.39649,0.8179,1.12985,0.000154982,0.000154982,0.000154982
92,5130.92,1.11692,0.69811,1.01883,0.80154,0.7518,0.7939,0.52186,1.40617,0.82824,1.137,0.00014594,0.00014594,0.00014594
93,5187.08,1.10293,0.68575,1.01521,0.82028,0.74003,0.79344,0.51461,1.40618,0.82525,1.14431,0.000137143,0.000137143,0.000137143
94,5241.97,1.10252,0.67886,1.01001,0.81853,0.73613,0.79912,0.52424,1.38833,0.82368,1.13556,0.000128599,0.000128599,0.000128599
95,5298.42,1.10258,0.68233,1.01044,0.82499,0.73351,0.7971,0.52162,1.41768,0.82682,1.14162,0.000120313,0.000120313,0.000120313
